model,question_id,scenario,benchmark,score
gpt-5.2,66b827b9b64deaedfbb997a2,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66b827b9b64deaedfbb997a2,hle,validate_csv,0
qwen3-14b,66b827b9b64deaedfbb997a2,hle,validate_csv,0
gemini-2.5-pro-nothinking,66b827b9b64deaedfbb997a2,hle,validate_csv,0
gpt-4.1,66b827b9b64deaedfbb997a2,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66b827b9b64deaedfbb997a2,hle,validate_csv,0
openai/o3-mini-2025-01-31,66b827b9b64deaedfbb997a2,hle,validate_csv,0
qwen3-30b-a3b,66b827b9b64deaedfbb997a2,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66b827b9b64deaedfbb997a2,hle,validate_csv,0
gemini-3.1-flash-lite-preview,66b827b9b64deaedfbb997a2,hle,validate_csv,1
qwen3-4b,66b827b9b64deaedfbb997a2,hle,validate_csv,0
qwen/qwen2.5-7b-instruct-turbo,66b827b9b64deaedfbb997a2,hle,validate_csv,0
gemini-2.5-flash,66b827b9b64deaedfbb997a2,hle,validate_csv,0
qwen3.5-plus,66b827b9b64deaedfbb997a2,hle,validate_csv,0
qwen3-32b,66b827b9b64deaedfbb997a2,hle,validate_csv,0
qwen3-8b,66b827b9b64deaedfbb997a2,hle,validate_csv,0
gemini-3.1-pro-preview-thinking-medium,66b827b9b64deaedfbb997a2,hle,validate_csv,0
qwen3-max,66b91693d86bff9a12fc1f99,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66b91693d86bff9a12fc1f99,hle,validate_csv,0
gpt-4.1,66e8add1650a03361a14c6f8,hle,validate_csv,0
qwen3-max,66e8add1650a03361a14c6f8,hle,validate_csv,0
openai/gpt-4o-2024-08-06,66e8add1650a03361a14c6f8,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66e8add1650a03361a14c6f8,hle,validate_csv,0
qwen3-14b,66e8add1650a03361a14c6f8,hle,validate_csv,0
openai/gpt-4o-2024-05-13,66b91693d86bff9a12fc1f99,hle,validate_csv,0
qwen/qwen2.5-72b-instruct-turbo,66b91693d86bff9a12fc1f99,hle,validate_csv,0
